Index;Study_ID;AuthorsAndYear;Journal;Class;Year;TaxaNumber;SSD_Proxy;SSD_SexBias_in_perc_F;SexSel_Proxy;SexSel_Sex;SexSel_Mode;SexSel_Category;PhyloControlled;BodySizeControlled;N;r;Var_r;SE_r;lCI;uCI;z;SE_z
11;7;Perez-Barberia et al. 2002;Evolution;Mammalia;2002;117;Body mass;24.4680851;Mating system;Male;pre-copulatory;Mating system;Yes;No;117;0.4996;0.00485431;0.069672876;0.363041163;0.636158837;0.548772953;0.093658581
12;8;Pincheira-Donoso et al. 2020;Global Ecol Biogeogr ;Amphibia;2020;621;Body size;92.40638;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;621;0.0156;0.001612118;0.040151193;-0.063096338;0.094296338;0.015601266;0.040225899
13;8;Pincheira-Donoso et al. 2020;Global Ecol Biogeogr ;Amphibia;2020;74;Body size;92.40638;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;74;-0.015;0.013692466;0.117014813;-0.244349033;0.214349033;-0.015001125;0.118678166
14;9;Plavcan and van Schaik 1997;Am J Phys Anthropol ;Mammalia;1997;85;Body mass;14.516129;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;85;0.7469471;0.002326499;0.048233795;0.652408863;0.841485337;0.966013236;0.110431526
15;10;Poulin 1997;Biol J Linn Soc;Nematoda;1997;41;Body size;97.3684211;OSR;Male;both;OSR;Yes;Yes;29;0.367;0.02674154;0.163528408;0.04648432;0.68751568;0.384951707;0.196116135
16;10;Poulin 1997;Biol J Linn Soc;Nematoda;1997;21;Body size;97.3684211;OSR;Male;both;OSR;Yes;Yes;21;0.479;0.029688059;0.17230223;0.141287628;0.816712372;0.52168571;0.23570226
20;12;Prinzing et al. 2002;Evol Ecol Res;Aves;2002;162;Body mass;NA;Sexual plumage dimorphism;Both;pre-copulatory;Trait-based;Yes;No;17;0.0103;0.062486739;0.249973478;-0.479648016;0.500248016;0.010300364;0.267261242
17;11;Pyron 1996;Biol J Linn Soc;Actinopterygii;1996;58;Body size;48.2758621;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;58;0.07;0.017372351;0.131804215;-0.188336261;0.328336261;0.070114671;0.134839972
18;11;Pyron 1996;Biol J Linn Soc;Actinopterygii;1996;58;Body size;48.2758621;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;58;0.381;0.01282017;0.113226192;0.159076665;0.602923335;0.40122894;0.134839972
19;11;Pyron 1996;Biol J Linn Soc;Actinopterygii;1996;58;Body size;48.2758621;Sperm competition;Male;post-copulatory;Postmating competition;Yes;No;58;0.006;0.017542597;0.132448467;-0.253598996;0.265598996;0.006000072;0.134839972
21;13;Pyron et al. 2013;Behav Ecol Sociobiol ;Actinopterygii;2013;111;Body size;49.0909091;Mating system;Male;post-copulatory;Postmating competition;Yes;Yes;111;0.3097;0.007430648;0.086201209;0.14074563;0.47865437;0.320213548;0.096225045
22;13;Pyron et al. 2013;Behav Ecol Sociobiol ;Actinopterygii;2013;111;Body size;49.0909091;Sperm competition;Male;post-copulatory;Postmating competition;Yes;Yes;111;-0.224;0.008201506;0.090562165;-0.401501843;-0.046498157;-0.227863471;0.096225045
23;14;Raihani et al. 2006;Behav Ecol Sociobiol ;Aves;2006;25;Body size;8;Mating system;Male;pre-copulatory;Mating system;Yes;No;24;0.4609;0.02696819;0.164219945;0.139028907;0.782771093;0.49845344;0.21821789
24;14;Raihani et al. 2006;Behav Ecol Sociobiol ;Aves;2006;25;Body size;8;Male display;Male;pre-copulatory;Trait-based;Yes;No;24;-0.4171;0.029666156;0.172238659;-0.754687771;-0.079512229;-0.444176082;0.21821789
25;15;Saether et al. 1986;Biol J Linn Soc;Aves;1986;98;Body mass;78.7878788;Mating system;Both;both;Mating system;No;Yes;98;0.3485;0.007957177;0.089203009;0.173662103;0.523337897;0.363735373;0.102597835
26;16;Serrano-Meneses and Szekely 2006;Oikos;Aves;2006;73;Body mass;25.3521127;Male display;Male;pre-copulatory;Trait-based;Yes;No;70;-0.233;0.012961874;0.113850226;-0.456146442;-0.009853558;-0.237359351;0.122169444
27;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;63;Body size;46.031746;Male display;Male;pre-copulatory;Trait-based;Yes;No;63;0.0674;0.015982824;0.126423196;-0.180389464;0.315189464;0.06750234;0.129099445
28;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;63;Body size;46.031746;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;51;0.1109;0.019511073;0.139682042;-0.162876802;0.384676802;0.111358031;0.144337567
29;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;70;Body size;30;Male display;Male;pre-copulatory;Trait-based;Yes;No;70;0.054;0.014408355;0.120034808;-0.181268224;0.289268224;0.05405258;0.122169444
30;17;Serrano-Meneses et al. 2008;J Evol Biol;Insecta;2008;70;Body size;30;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;57;0.4572;0.011171976;0.105697566;0.25003277;0.66436723;0.493765569;0.136082763
88;54;Song et al. 2022;The American naturalist;Aves;2022;107;Body size;2.0618557;Mating system;Both;both;Mating system;Yes;No;68;0.4121;0.010286391;0.101421846;0.213313181;0.610886819;0.438138186;0.124034735
31;18;Soulsbury et al. 2014;Evol Ecol Res;Aves;2014;35;Body mass;73.4693878;I males;Male;pre-copulatory;Premating competition;Yes;No;35;0.22;0.026633605;0.163198054;-0.099868185;0.539868185;0.223656109;0.176776695
32;18;Soulsbury et al. 2014;Evol Ecol Res;Mammalia;2014;32;Body mass;21.875;I males;Male;pre-copulatory;Premating competition;Yes;No;32;0.61;0.012718013;0.112774169;0.388962628;0.831037372;0.708921359;0.185695338
40;23;Szekely et al. 2000;Evolution;Aves;2000;62;Body size;67.7966102;Mating system;Both;both;Mating system;Yes;No;60;0.4249;0.011381605;0.106684604;0.215798177;0.634001823;0.453656488;0.132453236
41;23;Szekely et al. 2000;Evolution;Aves;2000;62;Body size;67.7966102;Male display;Male;pre-copulatory;Trait-based;Yes;No;48;-0.4314;0.014094117;0.118718647;-0.664088549;-0.198711451;-0.461615533;0.149071198
42;24;Szekely et al. 2004;PNAS;Aves;2004;74;Body size;54.7619048;Mating system;Both;both;Mating system;Yes;No;74;0.3813;0.010004915;0.100024571;0.185251841;0.577348159;0.401579931;0.118678166
43;24;Szekely et al. 2004;PNAS;Aves;2004;74;Body size;54.7619048;Male display;Male;pre-copulatory;Trait-based;Yes;No;74;-0.3333;0.01082415;0.104039176;-0.537216785;-0.129383215;-0.346536091;0.118678166
37;21;Tsuboi et al. 2012;Evol Ecol;Actinopterygii;2012;49;Body size;82.1428571;Mating system;Both;both;Mating system;Yes;Yes;45;0.416;0.015541736;0.124666499;0.171653663;0.660346337;0.442845146;0.15430335
35;20;Webster 1992;Evolution;Aves;1992;35;Body size;8.8235294;Harem size;Male;pre-copulatory;Premating competition;No;No;35;0.8465;0.002362852;0.048609173;0.751226021;0.941773979;1.243673334;0.176776695
36;20;Webster 1992;Evolution;Aves;1992;35;Body size;8.8235294;Mating system;Both;both;Mating system;No;No;35;0.7017;0.00757868;0.087055616;0.531070992;0.872329008;0.870641669;0.176776695
33;19;Wiklund and Forsberg 1991;Oikos;Insecta;1991;11;Body size;81.8181818;Mating system;Both;both;Mating system;No;No;11;0.602;0.040652866;0.201625559;0.206813905;0.997186095;0.696278061;0.353553391
34;19;Wiklund and Forsberg 1991;Oikos;Insecta;1991;12;Body size;91.6666667;Mating system;Both;both;Mating system;No;No;12;0.669;0.027744441;0.166566626;0.342529414;0.995470586;0.808930774;0.333333333
